
PARALLEL MONTE CARLO RESULTS
--------------------------------------------------------------------------------
  #  Parameters                                           Sharpe     PF     DD%  Trades   Return
--------------------------------------------------------------------------------
247  bb_period=30, bb_std=2.4, keltner_period=20, ...       0.00   0.00    0.00%       0   +0.00%
248  bb_period=30, bb_std=2.4, keltner_period=25, ...       0.00   0.00    0.00%       0   +0.00%
249  bb_period=30, bb_std=2.4, keltner_period=25, ...       0.00   0.00    0.00%       0   +0.00%
250  bb_period=30, bb_std=2.4, keltner_period=25, ...       0.00   0.00    0.00%       0   +0.00%
251  bb_period=30, bb_std=2.4, keltner_period=25, ...       0.00   0.00    0.00%       0   +0.00%
252  bb_period=30, bb_std=2.5, keltner_period=15, ...       0.00   0.00    0.00%       0   +0.00%
253  bb_period=30, bb_std=2.5, keltner_period=15, ...       0.00   0.00    0.00%       0   +0.00%
254  bb_period=30, bb_std=2.5, keltner_period=15, ...       0.00   0.00    0.00%       0   +0.00%
255  bb_period=30, bb_std=2.5, keltner_period=15, ...       0.00   0.00    0.00%       0   +0.00%
256  bb_period=30, bb_std=2.5, keltner_period=15, ...       0.00   0.00    0.00%       0   +0.00%
257  bb_period=30, bb_std=2.5, keltner_period=15, ...       0.00   0.00    0.00%       0   +0.00%
258  bb_period=30, bb_std=2.5, keltner_period=20, ...       0.00   0.00    0.00%       0   +0.00%
259  bb_period=30, bb_std=2.5, keltner_period=20, ...       0.00   0.00    0.00%       0   +0.00%
260  bb_period=30, bb_std=2.5, keltner_period=20, ...       0.00   0.00    0.00%       0   +0.00%
261  bb_period=30, bb_std=2.5, keltner_period=20, ...       0.00   0.00    0.00%       0   +0.00%
262  bb_period=30, bb_std=2.5, keltner_period=20, ...       0.00   0.00    0.00%       0   +0.00%
263  bb_period=30, bb_std=2.5, keltner_period=25, ...       0.00   0.00    0.00%       0   +0.00%
264  bb_period=30, bb_std=2.5, keltner_period=25, ...       0.00   0.00    0.00%       0   +0.00%
265  bb_period=30, bb_std=2.5, keltner_period=25, ...       0.00   0.00    0.00%       0   +0.00%
266  bb_period=30, bb_std=2.5, keltner_period=25, ...       0.00   0.00    0.00%       0   +0.00%
267  bb_period=30, bb_std=2.6, keltner_period=15, ...       0.00   0.00    0.00%       0   +0.00%
268  bb_period=30, bb_std=2.6, keltner_period=15, ...       0.00   0.00    0.00%       0   +0.00%
